Human N 0106
Probe Array Lot: 1004872
Operator Name: JB
Sample Type: Human Normal
Sample Description: exp.  3/17/02
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:82, Count:32
Corner- Avg:7913, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=500 NF=1.000000 SF=5.707668 SFGene=All 
Background=Avg:54.31,Stdev:0.88,Max:56.8,Min:52.0 Noise=Avg:2.17,Stdev:0.10,Max:2.5,Min:2.0 RawQ=1.96 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
AFFX-MurIL2_at	20	20	66.5	A	0.617401																															
AFFX-MurIL10_at	20	20	27.9	A	0.672921																															
AFFX-MurIL4_at	20	20	58.4	A	0.411380																															
AFFX-MurFAS_at	20	20	89.9	A	0.354453																															
AFFX-BioB-5_at	20	20	515.7	P	0.004484																															
AFFX-BioB-M_at	20	20	918.5	P	0.000662																															
AFFX-BioB-3_at	20	20	679.1	P	0.002275																															
AFFX-BioC-5_at	20	20	1495.1	P	0.000110																															
AFFX-BioC-3_at	20	20	1229.6	P	0.000081																															
AFFX-BioDn-5_at	20	20	1303.3	P	0.000081																															
AFFX-BioDn-3_at	20	20	9690.9	P	0.000195																															
AFFX-CreX-5_at	20	20	12976.1	P	0.000044																															
AFFX-CreX-3_at	20	20	17440.2	P	0.000044																															
AFFX-BioB-5_st	20	20	72.2	A	0.382599																															
AFFX-BioB-M_st	20	20	141.9	A	0.340661																															
AFFX-BioB-3_st	20	20	40.5	A	0.876428																															
AFFX-BioC-5_st	20	20	13.1	A	0.897835																															
AFFX-BioC-3_st	20	20	10.5	A	0.916408																															
AFFX-BioDn-5_st	20	20	80.7	A	0.354453																															
AFFX-BioDn-3_st	20	20	112.3	A	0.396920																															
AFFX-CreX-5_st	20	20	81.6	A	0.327079																															
AFFX-CreX-3_st	20	20	35.9	A	0.559354																															
AFFX-hum_alu_at	69	69	35071.2	P	0.000000																															
AFFX-DapX-5_at	20	20	76.2	M	0.058444																															
AFFX-DapX-M_at	20	20	63.0	A	0.300606																															
AFFX-DapX-3_at	20	20	32.6	A	0.772364																															
AFFX-LysX-5_at	20	20	56.6	A	0.062929																															
AFFX-LysX-M_at	20	20	31.1	A	0.645547																															
AFFX-LysX-3_at	20	20	22.9	A	0.300606																															
AFFX-PheX-5_at	20	20	6.8	A	0.868639																															
AFFX-PheX-M_at	20	20	9.6	A	0.937071																															
AFFX-PheX-3_at	20	20	30.5	A	0.659339																															
AFFX-ThrX-5_at	20	20	18.2	A	0.529760																															
AFFX-ThrX-M_at	20	20	11.8	A	0.843268																															
AFFX-ThrX-3_at	20	20	18.0	A	0.834139																															
AFFX-TrpnX-5_at	20	20	33.2	A	0.574038																															
AFFX-TrpnX-M_at	20	20	6.2	A	0.927300																															
AFFX-TrpnX-3_at	20	20	19.3	A	0.559354																															
AFFX-HUMISGF3A/M97935_5_at	20	20	147.2	M	0.042962																															
AFFX-HUMISGF3A/M97935_MA_at	20	20	455.1	M	0.042962																															
AFFX-HUMISGF3A/M97935_MB_at	20	20	302.7	P	0.000857																															
AFFX-HUMISGF3A/M97935_3_at	20	20	1348.6	P	0.000390																															
AFFX-HUMRGE/M10098_5_at	20	20	644.6	P	0.000340																															
AFFX-HUMRGE/M10098_M_at	20	20	206.6	P	0.020022																															
AFFX-HUMRGE/M10098_3_at	20	20	853.7	P	0.002867																															
AFFX-HUMGAPDH/M33197_5_at	20	20	24773.8	P	0.000044																															
AFFX-HUMGAPDH/M33197_M_at	20	20	26608.9	P	0.000052																															
AFFX-HUMGAPDH/M33197_3_at	20	20	23986.3	P	0.000044																															
AFFX-HSAC07/X00351_5_at	20	20	10739.8	P	0.000110																															
AFFX-HSAC07/X00351_M_at	20	20	8773.2	P	0.000044																															
AFFX-HSAC07/X00351_3_at	20	20	4105.3	P	0.000044																															
AFFX-HUMTFRR/M11507_5_at	20	20	114.3	P	0.004017																															
