Human N 0915
Probe Array Lot: 1004874
Operator Name: JB
Sample Type: Normal
Sample Description: exp.  3/20/024/25/02
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:76, Count:32
Corner- Avg:6889, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=500 NF=1.000000 SF=6.263740 SFGene=All 
Background=Avg:46.02,Stdev:0.44,Max:47.5,Min:44.9 Noise=Avg:2.01,Stdev:0.09,Max:2.3,Min:1.8 RawQ=1.75 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
AFFX-MurIL2_at	20	20	38.1	A	0.712257																															
AFFX-MurIL10_at	20	20	44.8	A	0.631562																															
AFFX-MurIL4_at	20	20	7.4	A	0.686277																															
AFFX-MurFAS_at	20	20	77.2	A	0.327079																															
AFFX-BioB-5_at	20	20	189.2	A	0.195266																															
AFFX-BioB-M_at	20	20	564.6	P	0.036569																															
AFFX-BioB-3_at	20	20	228.6	A	0.123572																															
AFFX-BioC-5_at	20	20	1108.9	P	0.000754																															
AFFX-BioC-3_at	20	20	631.7	P	0.000195																															
AFFX-BioDn-5_at	20	20	867.0	P	0.000581																															
AFFX-BioDn-3_at	20	20	6926.2	P	0.000509																															
AFFX-CreX-5_at	20	20	7658.4	P	0.000044																															
AFFX-CreX-3_at	20	20	9373.4	P	0.000044																															
AFFX-BioB-5_st	20	20	59.0	A	0.411380																															
AFFX-BioB-M_st	20	20	48.4	A	0.712257																															
AFFX-BioB-3_st	20	20	34.9	A	0.860518																															
AFFX-BioC-5_st	20	20	33.7	A	0.749204																															
AFFX-BioC-3_st	20	20	7.8	A	0.891021																															
AFFX-BioDn-5_st	20	20	58.2	A	0.340661																															
AFFX-BioDn-3_st	20	20	237.2	A	0.123572																															
AFFX-CreX-5_st	20	20	111.5	A	0.165861																															
AFFX-CreX-3_st	20	20	192.7	A	0.287743																															
AFFX-hum_alu_at	69	69	31619.8	P	0.000000																															
AFFX-DapX-5_at	20	20	38.2	A	0.287726																															
AFFX-DapX-M_at	20	20	50.7	A	0.165861																															
AFFX-DapX-3_at	20	20	39.3	A	0.712257																															
AFFX-LysX-5_at	20	20	10.1	A	0.574038																															
AFFX-LysX-M_at	20	20	27.9	A	0.749223																															
AFFX-LysX-3_at	20	20	36.8	A	0.139482																															
AFFX-PheX-5_at	20	20	6.4	A	0.772364																															
AFFX-PheX-M_at	20	20	18.6	A	0.860518																															
AFFX-PheX-3_at	20	20	14.3	A	0.904333																															
AFFX-ThrX-5_at	20	20	50.8	A	0.262827																															
AFFX-ThrX-M_at	20	20	12.4	A	0.772364																															
AFFX-ThrX-3_at	20	20	19.7	A	0.860518																															
AFFX-TrpnX-5_at	20	20	30.4	A	0.574038																															
AFFX-TrpnX-M_at	20	20	7.3	A	0.953518																															
AFFX-TrpnX-3_at	20	20	8.3	A	0.834139																															
AFFX-HUMISGF3A/M97935_5_at	20	20	121.0	A	0.072700																															
AFFX-HUMISGF3A/M97935_MA_at	20	20	406.8	A	0.089478																															
AFFX-HUMISGF3A/M97935_MB_at	20	20	274.1	P	0.003595																															
AFFX-HUMISGF3A/M97935_3_at	20	20	1227.4	P	0.000340																															
AFFX-HUMRGE/M10098_5_at	20	20	275.9	P	0.039661																															
AFFX-HUMRGE/M10098_M_at	20	20	179.9	A	0.227636																															
AFFX-HUMRGE/M10098_3_at	20	20	313.9	A	0.083592																															
AFFX-HUMGAPDH/M33197_5_at	20	20	22037.3	P	0.000044																															
AFFX-HUMGAPDH/M33197_M_at	20	20	28288.8	P	0.000060																															
AFFX-HUMGAPDH/M33197_3_at	20	20	23239.4	P	0.000044																															
AFFX-HSAC07/X00351_5_at	20	20	12592.8	P	0.000095																															
AFFX-HSAC07/X00351_M_at	20	20	8988.0	P	0.000044																															
AFFX-HSAC07/X00351_3_at	20	20	5630.7	P	0.000044																															
AFFX-HUMTFRR/M11507_5_at	20	20	139.0	P	0.004998																															
AFFX-HUMTFRR/M11507_M_at	20	20	85.3	A	0.147939																															
AFFX-HUMTFRR/M11507_3_at	20	20	257.3	P	0.004998																															
AFFX-M27830_5_at	20	20	554.2	P	0.000581																															
AFFX-M27830_M_at	20	20	418.7	A	0.559354																															
AFFX-M27830_3_at	20	20	193.7	A	0.699394																															
AFFX-HSAC07/X00351_3_st	20	20	604.5	P	0.000195																															
AFFX-HUMGAPDH/M33197_5_st	20	20	51.0	A	0.440646																															
AFFX-HUMGAPDH/M33197_M_st	20	20	281.5	A	0.239063																															
AFFX-HUMGAPDH/M33197_3_st	20	20	193.6	P	0.028457																															
AFFX-HSAC07/X00351_5_st	20	20	66.0	A	0.699394																															
AFFX-HSAC07/X00351_M_st	20	20	164.0	A	0.175328																															
AFFX-YEL002c/WBP1_at	20	20	13.2	A	0.883908																															
AFFX-YEL018w/_at	20	20	13.5	A	0.783476																															
AFFX-YEL024w/RIP1_at	20	20	73.5	A	0.440646																															
AFFX-YEL021w/URA3_at	20	20	54.9	A	0.139482																															
31307_at	16	16	1.4	A	0.990015																															
31308_at	16	16	20.9	A	0.581931																															
31309_r_at	16	16	10.7	A	0.641310																															
31310_at	16	16	23.5	A	0.810313																															
31311_at	16	16	42.8	A	0.697453																															
31312_at	16	16	80.5	A	0.641310																															
31313_at	16	16	15.9	A	0.824011																															
31314_at	16	16	107.1	A	0.397994																															
31315_at	16	16	177.9	A	0.438361																															
31316_at	16	16	5.6	A	0.901946																															
31317_r_at	16	16	264.4	A	0.234557																															
31318_at	16	16	5.9	A	0.918663																															
31319_at	16	16	28.7	A	0.795978																															
31320_at	16	16	227.3	A	0.479380																															
31321_at	16	16	40.2	A	0.397994																															
31322_at	16	16	36.4	A	0.541184																															
31323_r_at	16	16	82.6	A	0.918663																															
31324_at	16	16	132.3	P	0.039365																															
31325_at	16	16	76.7	A	0.520620																															
31326_at	16	16	165.0	A	0.837065																															
31327_at	16	16	8.4	A	0.872355																															
31328_at	16	16	202.8	A	0.320830																															
31329_at	16	16	50.1	A	0.150527																															
31330_at	16	16	3454.1	P	0.000219																															
31331_at	16	16	13.5	A	0.765443																															
31332_at	16	16	15.1	A	0.581931																															
31333_at	16	16	10.6	A	0.882840																															
31334_at	16	16	43.9	A	0.849473																															
31335_at	16	16	146.5	A	0.418069																															
31336_at	16	16	9.5	A	0.715253																															
31337_at	16	16	397.4	A	0.418069																															
31338_at	16	16	39.4	A	0.204022																															
31339_at	16	16	15.1	A	0.983000																															
31340_at	16	16	95.4	A	0.358690																															
31341_at	16	16	99.1	A	0.781017																															
31342_at	16	16	36.7	A	0.397994																															
31343_at	16	16	6.7	A	0.824011																															
31344_at	16	16	269.5	A	0.098054																															
31345_at	16	16	30.8	A	0.458816																															
31346_at	16	16	165.2	A	0.541184																															
31347_at	16	16	63.9	A	0.795978																															
31348_at	16	16	15.4	A	0.861235																															
31349_at	16	16	48.4	A	0.810313																															
31350_at	16	16	239.1	A	0.397994																															
31351_at	16	16	18.5	A	0.910595																															
31352_at	16	16	83.3	A	0.218983																															
31353_f_at	16	16	330.1	A	0.204022																															
31354_r_at	16	16	66.4	A	0.861235																															
31355_at	16	16	30.5	A	0.810313																															
31356_at	16	16	61.1	A	0.302547																															
31357_at	16	16	42.5	A	0.320830																															
31358_at	16	16	30.4	A	0.621816																															
31359_at	16	16	0.9	A	0.999195																															
31360_at	16	16	7.0	A	0.892699																															
31361_at	16	16	11.0	A	0.972140																															
31362_at	16	16	223.0	A	0.127645																															
31363_at	16	16	115.2	A	0.267463																															
31364_i_at	15	15	65.9	A	0.366636																															
31365_f_at	16	16	55.6	A	0.479380																															
31366_at	16	16	23.2	A	0.945530																															
31367_at	16	16	56.7	A	0.837065																															
31368_at	16	16	71.3	A	0.621816																															
31369_at	16	16	6.8	A	0.968664																															
31370_at	16	16	59.9	A	0.127645																															
31371_at	16	16	40.1	A	0.697453																															
31372_at	16	16	239.7	A	0.378184																															
31373_at	16	16	17.2	A	0.697453																															
31374_at	16	16	12.3	A	0.997383																															
31375_at	16	16	61.4	A	0.500000																															
31376_at	16	16	12.8	A	0.749276																															
31377_r_at	16	16	119.9	A	0.250724																															
31378_at	16	16	138.7	A	0.339558																															
31379_at	16	16	44.8	A	0.378184																															
31380_at	16	16	43.6	A	0.795978																															
31381_at	16	16	44.0	A	0.641310																															
31382_f_at	16	16	15.1	A	0.849473																															
31383_at	16	16	31.0	A	0.267463																															
31384_at	16	16	59.6	A	0.951005																															
31385_at	16	16	5928.4	P	0.000219																															
31386_at	16	16	515.6	A	0.127645																															
31387_at	16	16	68.4	A	0.749276																															
31388_at	16	16	9.8	A	0.882840																															
31389_at	16	16	191.3	A	0.060419																															
31390_at	16	16	11.2	A	0.679170																															
31391_at	16	16	554.1	A	0.204022																															
31392_r_at	16	16	157.2	P	0.035163																															
31393_r_at	16	16	822.5	A	0.849473																															
31394_at	16	16	8.5	A	0.910595																															
31395_i_at	13	13	18.2	A	0.789211																															
31396_r_at	16	16	1503.6	A	0.479380																															
31397_at	16	16	55.9	A	0.060419																															
31398_at	16	16	43.7	A	0.795978																															
31399_at	16	16	100.9	A	0.204022																															
31400_at	16	16	10.8	A	0.641310																															
31401_r_at	16	16	5.4	A	0.956032																															
31402_at	16	16	370.7	A	0.089405																															
31403_at	16	16	17.5	A	0.175989																															
31404_at	16	16	58.9	A	0.926170																															
31405_at	16	16	36.9	A	0.892699																															
31406_at	16	16	101.9	A	0.939581																															
31407_at	16	16	2.7	A	0.997772																															
31408_at	16	16	93.1	A	0.175989																															
31409_at	16	16	3.9	A	0.765443																															
31410_at	16	16	785.5	A	0.107301																															
31411_at	16	16	9.7	A	0.978134																															
31412_at	16	16	15.3	A	0.861235																															
31413_at	16	16	165.8	A	0.089405																															
31414_at	16	16	191.0	A	0.520620																															
31415_at	16	16	46.3	A	0.641310																															
31416_at	16	16	95.2	A	0.320830																															
31417_at	16	16	343.9	A	0.138765																															
31418_at	16	16	85.7	A	0.162935																															
31419_r_at	16	16	1646.2	A	0.358690																															
31420_at	16	16	20.8	A	0.980696																															
31421_at	16	16	91.3	A	0.081337																															
31422_at	16	16	25.8	A	0.561639																															
31423_at	16	16	36.8	A	0.837065																															
31424_at	16	16	51.0	A	0.679170																															
31425_g_at	16	16	124.3	A	0.250724																															
31426_at	16	16	615.5	A	0.107301																															
31427_at	16	16	17.1	A	0.660442																															
31428_at	16	16	47.6	A	0.810313																															
31429_at	16	16	78.3	A	0.250724																															
31430_at	16	16	8.5	A	0.861235																															
31431_at	16	16	711.1	P	0.008689																															
31432_g_at	16	16	1321.3	P	0.003067																															
31433_at	16	16	20.9	A	0.561639																															
31434_at	16	16	47.0	A	0.781017																															
31435_at	16	16	7.0	A	0.964837																															
31436_s_at	16	16	120.4	A	0.581931																															
31437_r_at	16	16	38.7	A	0.621816																															
31438_s_at	16	16	207.4	P	0.001892																															
31439_f_at	16	16	408.6	A	0.339558																															
31440_at	16	16	145.7	A	0.602006																															
31441_at	16	16	34.3	A	0.837065																															
31442_at	16	16	12.4	A	0.978134																															
31443_at	16	16	155.9	M	0.043968																															
31444_s_at	16	16	11720.0	P	0.000219																															
31445_at	16	16	18.9	A	0.749276																															
31446_s_at	16	16	81.7	A	0.660442																															
31447_at	16	16	27.0	A	0.302547																															
31448_s_at	16	16	5.9	A	0.939581																															
31449_at	16	16	21.3	A	0.837065																															
31450_s_at	16	16	44.2	A	0.660442																															
31451_at	16	16	127.0	A	0.749276																															
31452_at	16	16	77.8	A	0.127645																															
31453_s_at	16	16	17.0	A	0.697453																															
31454_f_at	16	16	81.4	A	0.284747																															
31455_r_at	16	16	8.2	A	0.749276																															
31456_at	16	16	84.3	A	0.218983																															
31457_at	16	16	136.1	A	0.621816																															
31458_at	16	16	224.4	A	0.418069																															
31459_i_at	13	13	24.3	A	0.746627																															
31460_f_at	16	16	28.7	A	0.581931																															
31461_at	16	16	7.2	A	0.918663																															
31462_f_at	16	16	17.8	A	0.861235																															
31463_s_at	16	16	4479.0	P	0.000219																															
31464_at	16	16	4.1	A	0.918663																															
31465_g_at	16	16	24.0	A	0.960635																															
31466_at	16	16	36.4	A	0.679170																															
31467_at	16	16	124.0	A	0.500000																															
31468_f_at	16	16	29.0	A	0.697453																															
31469_s_at	16	16	110.6	A	0.117160																															
31470_at	16	16	82.1	A	0.458816																															
31471_at	16	16	224.4	A	0.339558																															
31472_s_at	16	16	138.2	A	0.107301																															
31473_s_at	16	16	43.2	A	0.378184																															
